min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
4,5.0,2.0,39,23.1,0.612,12.55,1279.03,-10.85,-1085.11,-3.67,False,DD 12.6%
4,5.0,2.5,35,20.0,0.61,11.05,1115.28,-10.23,-1023.02,-3.56,False,DD 11.1%
4,5.0,3.0,33,18.2,0.598,14.35,1504.99,-10.15,-1014.51,-3.46,False,DD 14.3%
4,8.0,2.0,70,27.1,0.779,12.07,1230.63,-10.34,-1033.67,-1.84,False,DD 12.1%
4,8.0,2.5,20,10.0,0.306,11.12,1117.6,-10.72,-1071.58,-8.51,False,DD 11.1%
4,8.0,3.0,21,9.5,0.346,11.56,1166.67,-10.72,-1071.64,-7.25,False,DD 11.6%
4,10.0,2.0,18,11.1,0.263,11.53,1164.14,-10.66,-1066.14,-10.43,False,DD 11.5%
4,10.0,2.5,19,10.5,0.309,11.96,1213.35,-10.66,-1065.85,-8.67,False,DD 12.0%
4,10.0,3.0,12,0.0,0.0,10.7,1069.55,-10.7,-1069.55,-70.38,False,DD 10.7%
4,12.0,2.0,17,11.8,0.268,11.39,1149.95,-10.52,-1051.95,-10.58,False,DD 11.4%
4,12.0,2.5,11,0.0,0.0,10.47,1046.62,-10.47,-1046.62,-499.54,False,DD 10.5%
4,12.0,3.0,11,0.0,0.0,10.47,1046.62,-10.47,-1046.62,-499.54,False,DD 10.5%
4,15.0,2.0,12,0.0,0.0,10.55,1055.0,-10.55,-1055.0,-58.14,False,DD 10.6%
4,15.0,2.5,12,0.0,0.0,10.55,1055.0,-10.55,-1055.0,-58.14,False,DD 10.6%
4,15.0,3.0,12,0.0,0.0,10.55,1055.0,-10.55,-1055.0,-58.14,False,DD 10.6%
4,20.0,2.0,44,25.0,0.656,10.76,1075.92,-10.76,-1075.92,-3.18,False,DD 10.8%
4,20.0,2.5,105,25.7,0.863,12.58,1292.19,-10.22,-1021.75,-1.06,False,DD 12.6%
