min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
4,5.0,2.0,89,31.5,0.81,14.27,1487.91,-10.6,-1059.78,-1.53,False,DD 14.3%
4,5.0,2.5,89,23.6,0.827,12.26,1252.55,-10.35,-1034.5,-1.33,False,DD 12.3%
4,5.0,3.0,47,19.1,0.687,10.45,1045.01,-10.45,-1045.01,-2.52,False,DD 10.4%
4,8.0,2.0,34,23.5,0.572,10.17,1016.73,-10.17,-1016.73,-4.17,False,DD 10.2%
4,8.0,2.5,84,25.0,0.824,15.03,1586.69,-10.29,-1029.06,-1.37,False,DD 15.0%
4,8.0,3.0,77,20.8,0.816,16.72,1798.65,-10.42,-1042.07,-1.38,False,DD 16.7%
4,10.0,2.0,349,37.0,1.186,15.4,2402.37,45.63,4563.06,1.25,False,DD 15.4%
4,10.0,2.5,59,22.0,0.748,12.12,1235.45,-10.41,-1041.25,-2.04,False,DD 12.1%
4,10.0,3.0,268,29.5,1.231,12.45,2022.02,50.72,5072.13,1.39,False,DD 12.4%
4,12.0,2.0,270,41.9,1.456,9.59,1714.35,92.97,9297.08,2.75,True,ok
4,12.0,2.5,228,36.0,1.445,11.33,1953.96,81.64,8164.39,2.59,False,DD 11.3%
4,12.0,3.0,189,32.8,1.473,10.08,1701.11,77.42,7741.65,2.62,False,DD 10.1%
4,15.0,2.0,215,39.1,1.238,10.1,1142.85,34.55,3454.73,1.58,False,DD 10.1%
4,15.0,2.5,163,35.6,1.383,11.23,1251.8,43.47,4346.93,2.29,False,DD 11.2%
4,15.0,3.0,145,30.3,1.293,9.29,1011.25,30.93,3093.31,1.76,True,ok
4,20.0,2.0,128,42.2,1.473,6.83,829.63,37.62,3761.81,2.88,True,ok
4,20.0,2.5,100,38.0,1.564,7.1,817.26,37.23,3722.94,3.2,True,ok
4,20.0,3.0,91,31.9,1.461,7.91,811.87,28.4,2839.75,2.58,True,ok
5,5.0,2.0,178,34.8,1.037,14.12,1570.85,4.39,439.16,0.27,False,DD 14.1%
5,5.0,2.5,166,28.9,0.997,12.0,1229.82,-0.3,-29.57,-0.02,False,DD 12.0%
5,5.0,3.0,32,15.6,0.569,13.31,1370.55,-10.71,-1070.55,-3.87,False,DD 13.3%
5,8.0,2.0,21,14.3,0.351,12.33,1257.5,-10.57,-1057.5,-7.98,False,DD 12.3%
5,8.0,2.5,22,13.6,0.414,12.33,1263.36,-10.13,-1013.36,-6.36,False,DD 12.3%
5,8.0,3.0,16,6.2,0.204,10.66,1066.02,-10.66,-1066.02,-11.75,False,DD 10.7%
5,10.0,2.0,118,38.1,1.244,9.44,1193.61,19.09,1909.39,1.62,True,ok
5,10.0,2.5,22,13.6,0.402,10.24,1024.47,-10.24,-1024.47,-6.65,False,DD 10.2%
5,10.0,3.0,12,0.0,0.0,10.58,1057.85,-10.58,-1057.85,-60.3,False,DD 10.6%
5,12.0,2.0,21,14.3,0.343,10.63,1062.99,-10.63,-1062.99,-8.21,False,DD 10.6%
5,12.0,2.5,15,6.7,0.182,10.14,1013.83,-10.14,-1013.83,-13.19,False,DD 10.1%
5,12.0,3.0,16,6.2,0.204,10.6,1060.29,-10.6,-1060.29,-11.75,False,DD 10.6%
5,15.0,2.0,14,7.1,0.15,10.49,1049.29,-10.49,-1049.29,-16.52,False,DD 10.5%
5,15.0,2.5,14,7.1,0.187,10.05,1005.41,-10.05,-1005.41,-13.58,False,DD 10.1%
5,15.0,3.0,82,37.8,1.792,8.7,1192.73,46.66,4666.33,4.01,True,ok
5,20.0,2.0,74,48.6,1.953,5.94,593.61,39.85,3984.71,5.04,True,ok
5,20.0,2.5,65,47.7,2.3,5.93,593.35,50.78,5077.72,6.05,True,ok
5,20.0,3.0,60,45.0,2.469,3.94,523.37,56.73,5673.08,6.31,True,ok
6,5.0,2.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (9<10)
6,5.0,2.5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (7<10)
6,5.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (7<10)
6,8.0,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (7<10)
6,8.0,2.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (8<10)
6,8.0,3.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (8<10)
6,10.0,2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (8<10)
6,10.0,2.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (8<10)
6,10.0,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (7<10)
