min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
4,5.0,2.0,82,28.0,0.791,10.88,1087.67,-10.88,-1087.67,-1.71,False,DD 10.9%
4,5.0,2.5,89,23.6,0.827,12.26,1252.55,-10.35,-1034.5,-1.33,False,DD 12.3%
4,5.0,3.0,46,17.4,0.682,10.45,1045.01,-10.45,-1045.01,-2.56,False,DD 10.4%
4,8.0,2.0,34,23.5,0.572,10.17,1016.73,-10.17,-1016.73,-4.17,False,DD 10.2%
4,8.0,2.5,84,25.0,0.816,15.62,1652.37,-10.74,-1074.11,-1.44,False,DD 15.6%
4,8.0,3.0,347,28.2,1.145,15.12,1944.56,39.88,3987.98,0.91,False,DD 15.1%
4,10.0,2.0,334,37.4,1.181,15.67,2416.13,43.55,4354.58,1.22,False,DD 15.7%
4,10.0,2.5,300,33.0,1.197,11.44,1713.21,44.26,4425.69,1.26,False,DD 11.4%
4,10.0,3.0,252,30.6,1.311,9.49,1671.39,68.37,6836.69,1.82,True,ok
4,12.0,2.0,257,42.0,1.443,9.62,1711.81,88.89,8889.09,2.7,True,ok
4,12.0,2.5,220,36.8,1.495,8.91,1551.22,88.41,8840.68,2.83,True,ok
4,12.0,3.0,188,32.4,1.392,10.54,1682.16,62.28,6228.31,2.23,False,DD 10.5%
4,15.0,2.0,209,40.2,1.298,8.6,1211.67,43.58,4357.64,1.92,True,ok
4,15.0,2.5,161,36.6,1.439,7.01,977.98,50.67,5067.41,2.56,True,ok
4,15.0,3.0,145,31.0,1.317,7.37,900.0,34.07,3406.73,1.88,True,ok
4,20.0,2.0,126,42.1,1.495,6.78,832.13,38.73,3873.11,2.99,True,ok
4,20.0,2.5,104,37.5,1.533,6.98,822.79,37.13,3713.06,3.05,True,ok
4,20.0,3.0,90,32.2,1.488,7.31,808.16,29.68,2968.19,2.71,True,ok
5,5.0,2.0,144,34.7,1.044,13.24,1484.84,4.28,428.18,0.32,False,DD 13.2%
5,5.0,2.5,139,30.2,1.048,11.55,1249.25,4.57,457.27,0.33,False,DD 11.6%
5,5.0,3.0,137,26.3,1.062,11.7,1240.0,6.03,602.65,0.41,False,DD 11.7%
5,8.0,2.0,18,11.1,0.265,12.3,1254.84,-10.55,-1054.84,-10.28,False,DD 12.3%
5,8.0,2.5,19,10.5,0.312,12.73,1304.53,-10.55,-1054.53,-8.55,False,DD 12.7%
5,8.0,3.0,12,0.0,0.0,10.61,1060.73,-10.61,-1060.73,-62.6,False,DD 10.6%
5,10.0,2.0,103,36.9,1.175,10.52,1073.17,11.77,1177.35,1.2,False,DD 10.5%
5,10.0,2.5,15,6.7,0.182,10.17,1016.69,-10.17,-1016.69,-13.25,False,DD 10.2%
5,10.0,3.0,16,6.2,0.203,10.63,1063.14,-10.63,-1063.14,-11.8,False,DD 10.6%
5,12.0,2.0,15,6.7,0.147,10.58,1057.66,-10.58,-1057.66,-15.77,False,DD 10.6%
5,12.0,2.5,15,6.7,0.184,10.14,1013.83,-10.14,-1013.83,-13.1,False,DD 10.1%
5,12.0,3.0,91,31.9,1.431,8.7,1071.8,28.06,2805.94,2.45,True,ok
5,15.0,2.0,85,40.0,1.321,9.59,1107.28,16.95,1695.25,2.09,True,ok
5,15.0,2.5,81,38.3,1.559,9.15,1108.52,30.08,3007.67,3.19,True,ok
5,15.0,3.0,77,37.7,1.844,8.7,1128.76,45.47,4546.85,4.22,True,ok
5,20.0,2.0,70,48.6,1.903,6.82,682.12,35.66,3565.64,4.86,True,ok
5,20.0,2.5,62,45.2,2.084,6.36,636.45,40.68,4067.56,5.33,True,ok
5,20.0,3.0,58,44.8,2.482,5.91,590.77,54.04,5403.75,6.34,True,ok
