min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
4,5.0,2.0,60,26.7,0.73,13.28,1364.89,-10.9,-1089.56,-2.29,False,DD 13.3%
4,5.0,2.5,106,25.5,0.86,16.47,1768.4,-10.32,-1032.19,-1.06,False,DD 16.5%
4,5.0,3.0,32,15.6,0.591,10.67,1074.87,-10.01,-1000.86,-3.56,False,DD 10.7%
4,8.0,2.0,88,30.7,0.813,16.42,1758.28,-10.52,-1051.78,-1.49,False,DD 16.4%
4,8.0,2.5,146,26.7,0.895,17.37,1877.09,-10.68,-1067.99,-0.79,False,DD 17.4%
4,8.0,3.0,149,24.2,0.906,23.97,2810.79,-10.85,-1085.15,-0.68,False,DD 24.0%
4,10.0,2.0,72,27.8,0.787,17.1,1849.3,-10.35,-1034.65,-1.75,False,DD 17.1%
4,10.0,2.5,135,26.7,0.887,19.97,2224.41,-10.84,-1084.44,-0.85,False,DD 20.0%
4,10.0,3.0,116,22.4,0.875,18.39,2012.48,-10.71,-1071.47,-0.9,False,DD 18.4%
4,12.0,2.0,440,35.2,1.076,19.13,2385.27,23.3,2330.02,0.54,False,DD 19.1%
4,12.0,2.5,393,31.6,1.132,19.92,2843.55,39.69,3969.48,0.88,False,DD 19.9%
4,12.0,3.0,335,28.7,1.188,22.66,3478.16,51.45,5145.33,1.15,False,DD 22.7%
4,15.0,2.0,371,34.5,1.039,20.85,2490.3,9.54,954.09,0.28,False,DD 20.9%
4,15.0,2.5,307,30.6,1.051,19.55,2238.34,11.05,1104.99,0.36,False,DD 19.6%
4,15.0,3.0,284,26.8,1.078,20.46,2612.11,16.98,1698.09,0.52,False,DD 20.5%
4,20.0,2.0,216,32.4,0.93,17.67,1928.18,-10.14,-1014.06,-0.54,False,DD 17.7%
4,20.0,2.5,224,29.5,1.026,19.42,2173.15,4.21,420.52,0.19,False,DD 19.4%
4,20.0,3.0,173,27.7,1.153,13.81,1731.04,20.34,2033.72,0.97,False,DD 13.8%
