min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
4,5.0,2.0,583,32.8,0.978,44.13,7096.97,-10.17,-1016.8,-0.16,False,DD 44.1%
4,5.0,2.5,544,29.0,0.997,44.31,7825.2,-1.66,-165.93,-0.02,False,DD 44.3%
4,5.0,3.0,507,24.7,0.982,50.58,9348.27,-8.66,-865.71,-0.12,False,DD 50.6%
4,8.0,2.0,440,32.7,0.966,27.11,3329.98,-10.47,-1046.99,-0.26,False,DD 27.1%
4,8.0,2.5,444,28.6,0.969,30.31,3896.98,-10.39,-1039.31,-0.22,False,DD 30.3%
4,8.0,3.0,450,24.9,0.973,35.3,4907.32,-10.04,-1004.26,-0.19,False,DD 35.3%
4,10.0,2.0,381,32.8,0.96,29.7,3771.35,-10.71,-1071.36,-0.3,False,DD 29.7%
4,10.0,2.5,370,28.1,0.963,32.46,4286.99,-10.78,-1078.37,-0.26,False,DD 32.5%
4,10.0,3.0,325,24.6,0.963,35.32,4905.66,-10.17,-1016.77,-0.25,False,DD 35.3%
4,12.0,2.0,399,32.6,0.968,40.6,6149.79,-10.02,-1001.91,-0.23,False,DD 40.6%
4,12.0,2.5,300,28.0,0.957,38.45,5584.35,-10.6,-1059.66,-0.31,False,DD 38.5%
4,12.0,3.0,277,24.2,0.954,31.31,4080.4,-10.48,-1048.16,-0.32,False,DD 31.3%
4,15.0,2.0,307,32.6,0.954,37.54,5359.34,-10.82,-1081.52,-0.35,False,DD 37.5%
4,15.0,2.5,259,27.8,0.948,36.54,5142.59,-10.69,-1068.91,-0.38,False,DD 36.5%
4,15.0,3.0,226,23.9,0.944,36.01,5028.67,-10.62,-1062.42,-0.39,False,DD 36.0%
4,20.0,2.0,234,32.5,0.936,30.53,3920.98,-10.77,-1076.9,-0.49,False,DD 30.5%
4,20.0,2.5,213,27.2,0.94,33.97,4616.54,-10.25,-1025.06,-0.44,False,DD 34.0%
4,20.0,3.0,183,24.6,0.998,33.65,5055.59,-0.33,-32.52,-0.01,False,DD 33.6%
5,5.0,2.0,154,37.0,1.16,9.21,1112.53,16.72,1672.13,1.11,True,ok
5,5.0,2.5,151,31.8,1.126,11.6,1408.99,14.16,1416.28,0.85,False,DD 11.6%
5,5.0,3.0,131,29.0,1.141,11.83,1498.92,14.86,1485.65,0.91,False,DD 11.8%
5,8.0,2.0,122,31.1,0.905,18.96,2151.98,-8.04,-804.23,-0.74,False,DD 19.0%
5,8.0,2.5,116,26.7,0.923,18.79,2162.48,-6.54,-653.88,-0.57,False,DD 18.8%
5,8.0,3.0,79,21.5,0.826,15.2,1603.47,-10.51,-1050.86,-1.32,False,DD 15.2%
5,10.0,2.0,106,32.1,0.938,15.9,1803.9,-4.56,-456.06,-0.48,False,DD 15.9%
5,10.0,2.5,43,23.3,0.679,10.22,1022.02,-10.22,-1022.02,-2.77,False,DD 10.2%
5,10.0,3.0,40,20.0,0.654,11.47,1157.01,-10.67,-1066.56,-2.92,False,DD 11.5%
5,12.0,2.0,73,28.8,0.79,10.87,1095.7,-10.12,-1012.07,-1.74,False,DD 10.9%
